Mois,Volume total moyen vendu 2019,Prix moyen pondéré 2019 (€ / MWh),Volume total moyen vendu 2020,Prix moyen pondéré 2020(€ / MWh),Volume total moyen vendu 2021,Prix moyen pondéré 2021(€ / MWh),Volume total moyen vendu 2022,Prix moyen pondéré 2022(€ / MWh),Volume total moyen vendu 2023,Prix moyen pondéré 2023(€ / MWh)
January,,,60244.139,0.194,59720.333,0.304,104030.861,1.959,123847.056,7.435
February,,,82006.833,0.178,100012.639,0.526,148184.167,1.892,81961.611,7.576
March,69049.690,0.303,36138.660,0.224,96112.278,0.428,116637.694,1.906,137415.750,6.096
April,41429.360,0.731,41960.710,0.218,82881.833,0.454,117951.750,2.229,104428.639,5.830
May,43027.530,0.504,11488.370,0.309,106782.89,0.442,99015.806,3.242,105718.639,5.259
June,37495.610,0.491,40052.230,0.185,55555.310,0.773,79110.833,3.722,,
July,33228.890,0.326,14753.240,0.214,89229.530,0.770,78357.722,5.383,,
August,30683.640,0.333,15740.960,0.2148,86531.830,0.796,78165.667,7.882,,
September,41523.000,0.229,34494.611,0.119,65451.390,0.672,76102.750,6.027,,
October,25678.770,0.151,30950.070,0.143,109253.060,0.765,89861.083,7.634,,
November,25254.410,0.178,32119.000,0.172,84726.970,1.179,114393.260,4.795,,
December,14064.180,0.253,70128.130,0.139,128581.670,0.840,100980.111,6.081,,